Rank|ChatMessage
Bronze|save are bro
Grandmaster|mid noob afk are game thrower
Silver|quit team bro diff you trash
Platinum|the good wp you
Silver|mid suck trash stop useless
Silver|trash you game
Gold|useless stop are noob
Gold|diff bro stop are ez mid afk
Platinum|you mid game nice team
Silver|suck afk game the
Silver|trash team play bro
Gold|team my save stop
Gold|the play wp
Platinum|game wp bro are
Gold|mid are thrower team garbo quit
Silver|you play the team garbage
Bronze|bro the are mb
Silver|the trash stop my thrower are
Gold|report game ez play mid
Silver|report trash garbage mid the game team
Platinum|team ez you garbage
Silver|the useless garbo my you
Silver|thrower are mid bro diff
Gold|save game wp the
Silver|the my glhf clutch
Platinum|trash you bro play team bot ez
Gold|the play my garbage you
Gold|report team ez are
Gold|my clean the team
Silver|play clean clutch game save
Platinum|play good mb stop the save
Silver|mid mb game good
Silver|mb nice the mid my
Gold|you report play diff quit
Bronze|my the diff report
Platinum|game save wp are clutch the bro
Platinum|the thrower afk are play quit my
Gold|play are team bro mb
Gold|bro game glhf stop
Silver|my mb clutch game
Silver|you stop quit bot ez mid team
Gold|bro my the noob
Gold|clean you glhf stop team
Silver|bro trash play stop you uninstall
Gold|are bot stop useless garbage bro you
Silver|report mid stop
Gold|team nice save wp my play mid
Bronze|bro mid report my
Bronze|gg team bro you my mb
Grandmaster|team game trash the report bro
Silver|nice my stop gg mid game
Platinum|gg my you
Silver|you garbage game my team useless
Platinum|team uninstall are afk bro ez
Silver|mid wp team bro save the
Platinum|game diff you play garbage
Diamond|mid stop garbage my ez
Silver|diff report ez team are my you
Bronze|game bro team garbo diff trash
Diamond|suck thrower garbo are you
Diamond|team play save glhf
Silver|garbo garbage my stop suck the
Gold|team glhf mid play mb
Silver|my nice the you
Silver|play garbo stop
Silver|team stop mb clutch
Platinum|game diff team are thrower afk
Silver|garbo diff team mid
Gold|game mid thrower
Bronze|are bot you the mid
Silver|are game bro quit noob
Silver|are diff stop useless
Silver|you mb game mid
Gold|stop garbo noob play you team
Platinum|team bro are suck quit mid
Silver|noob game bro
Bronze|useless play the you
Diamond|the team mid clutch stop clean save
Gold|suck bro uninstall my
Bronze|trash bot team garbo stop
Silver|stop play game garbo
Bronze|team mid noob bot play
Silver|the save play
Bronze|useless garbo thrower stop are you my
Diamond|diff the useless suck mid my are
Gold|useless the team play are trash ez
Gold|useless uninstall mid game play stop quit
Silver|clean you game glhf team
Diamond|ez stop play
Gold|noob bot play mid bro
Gold|play stop mid ez bro
Platinum|nice the mid glhf gg
Diamond|quit stop ez mid you
Silver|game wp are save you nice the
Gold|garbage my you game
Diamond|are team uninstall ez quit game
Gold|you bot uninstall team play
Gold|clutch play mid save
Silver|you uninstall the stop
Platinum|play save clutch game
Gold|mid the report suck game thrower bro
Gold|good glhf my nice bro
Diamond|noob you are bro game quit ez
Bronze|bot bro play are team uninstall
Gold|the mb you
Bronze|thrower mid are afk
Platinum|diff stop mid report you my
Gold|team gg glhf bro
Diamond|noob the stop are play trash
Platinum|ez bro are team thrower diff stop
Silver|you are wp mb
Diamond|bot bro stop team mid
Bronze|diff afk team noob my
Bronze|the bro ez
Diamond|ez game are diff
Bronze|garbage suck play uninstall the stop
Bronze|bro trash you mid
Silver|thrower my diff noob team
Bronze|stop my useless play are diff
Silver|bro trash garbo game the
Gold|bro team gg my mb save are
Silver|report noob stop team you
Celestial|clutch clean save play game
Gold|nice bro game play gg wp mid
Silver|game uninstall play
Silver|play uninstall useless afk team mid
Gold|are afk bro
Bronze|team bro game report
Silver|save wp clean the play
Platinum|you stop useless my trash ez team
Bronze|bro suck game report stop you quit
Gold|play game nice are
Bronze|play bro afk
Silver|mb nice the you gg are my
Platinum|are bro glhf the mid
Bronze|are game you diff bro
Platinum|team wp stop are gg
Silver|the afk play
Gold|clean clutch the mid save
Gold|play the my save
Bronze|my stop afk
Gold|play game you clutch
Bronze|bro thrower mid game
Silver|play the team clutch
Silver|bro the game noob
Bronze|noob the suck game
Gold|nice my you wp gg
Platinum|glhf team good are clutch game
Diamond|team thrower noob trash are
Gold|stop quit trash mid suck play game
Bronze|you thrower the
Silver|play mid save clean good stop
Gold|play game bro afk are
Diamond|mid thrower my game ez report
Silver|team my you report are
Gold|my team the save nice
Silver|stop are glhf
Platinum|stop bro thrower the diff
Gold|clutch mid my
Gold|noob garbo game team trash you
Silver|game save clutch are nice you
Platinum|clean team stop clutch the
Silver|bot mid bro stop are afk
Silver|gg glhf team bro game save
Diamond|bro game noob the mid
Platinum|gg play clean team game glhf
Bronze|are garbo ez diff game play
Bronze|game the you nice clutch stop
Gold|report suck stop bro game play uninstall
Gold|are trash you useless team mid
Platinum|the diff are
Gold|you stop the save game
Silver|team mid you my trash
Silver|gg you mb play team the
Diamond|mid bot stop bro play
Diamond|you noob suck team trash
Platinum|play game the mid save
Gold|play team bro garbo suck my uninstall
Gold|noob are you game uninstall
Bronze|garbage you useless team play
Silver|save are mid stop my glhf nice
Platinum|useless you suck mid my
Diamond|team wp stop save
Silver|trash stop quit play afk are
Celestial|you mb play game stop
Diamond|trash mid bro stop
Diamond|noob bot bro the suck stop
Gold|nice stop mid team
Silver|the garbage uninstall trash game
Gold|you useless noob stop
Bronze|quit bot garbage team bro
Platinum|glhf clutch are save play
Diamond|noob stop game team trash suck
Silver|quit game the stop report bro
Silver|garbage report stop my game suck the
Silver|thrower bro stop
Gold|uninstall game trash useless my
Bronze|good game bro mid gg the
Bronze|my mb the you
Gold|save game clean gg my play
Silver|quit play diff my
Silver|quit trash team afk are
Diamond|report stop noob game the bro quit
Platinum|you ez bro bot stop
Grandmaster|are uninstall garbo the game trash you
Diamond|afk team garbage play
Gold|noob are game mid bro
Silver|play team suck stop noob my
Gold|useless uninstall you are bro team
Platinum|nice bro clean you
Platinum|my play wp stop mid
Gold|game mb my
Gold|are uninstall my bot
Gold|useless the game
Gold|uninstall mid are garbo you afk bro
Silver|play stop you useless game report
Silver|my garbage team report suck mid play
Diamond|bro useless my mid stop
Silver|save you stop clutch the are
Diamond|quit the stop
Platinum|bro quit noob play afk my
Gold|bro my suck the useless
Platinum|my garbage useless are ez you stop
Silver|save are mb clutch mid stop
Bronze|mid my wp are nice bro
Gold|noob mid diff are
Silver|my the bot team game
Silver|report bot game bro suck
Silver|uninstall afk stop my bro ez
Silver|bro mid stop useless my
Bronze|game useless play mid you
Platinum|game stop wp
Diamond|play are uninstall stop
Bronze|ez uninstall mid suck play
Diamond|you garbo uninstall stop quit
Platinum|mid team good save
Silver|are glhf you
Diamond|play the report afk
Platinum|play nice stop mb clutch
Gold|stop suck are game
Gold|mid ez my are you
Platinum|you trash afk game mid are
Silver|stop afk my game useless play
Gold|save clean mid play clutch
Grandmaster|play my game bot diff mid
Diamond|stop mid team the wp clutch glhf
Silver|noob play game
Silver|stop bro uninstall mid
Platinum|garbage useless you uninstall mid
Bronze|play team trash
Bronze|bro my play suck stop
Gold|good nice play are
Gold|bro you clutch gg stop nice
Silver|mid my bro you nice
Silver|stop report thrower my you team
Silver|the mb play glhf stop game save
Silver|game gg stop team save are
Gold|thrower are diff mid my play afk
Silver|mid report are team uninstall
Platinum|save stop game gg
Gold|mid diff team
Diamond|ez uninstall game are diff team
Silver|garbage diff mid stop the suck
Silver|mid noob the report bro are thrower
Gold|good the my stop
Platinum|bro you my the good
Platinum|nice stop mb gg game
Platinum|the play game garbo
Silver|stop wp you
Silver|thrower the are play
Gold|the nice good mid my
Silver|stop noob play suck
Diamond|bro afk diff the quit are
Diamond|quit bro play the
Grandmaster|bot my game
Gold|are garbo quit game diff you
Gold|mid save nice wp bro
Silver|stop ez team
Gold|you useless game mid
Gold|garbage bro uninstall my team
Platinum|game mb team gg stop
Silver|trash team game play are
Gold|nice game the
Diamond|bro game are report quit team diff
Diamond|noob garbage diff bro team
Grandmaster|are bro my mid bot quit
Gold|my play team save good
Bronze|mid game suck
Diamond|my report ez garbo the game
Bronze|mid noob are
Gold|play garbage diff garbo mid are
Platinum|game the are clean team good wp
Gold|team my you nice mb
Platinum|my report bot bro uninstall are
Gold|the diff are mid report
Gold|play useless you are
Grandmaster|game are ez trash suck
Gold|mid my play thrower game trash ez
Gold|play you bro ez thrower
Gold|my the diff report afk bro are
Diamond|you report bot team
Silver|you wp are stop gg bro
Gold|my afk play thrower you
Bronze|stop play bro nice
Bronze|my stop garbo
Silver|you are quit bot game suck
Gold|stop you glhf mid bro
Grandmaster|are report team
Silver|bro mid game glhf clutch team
Silver|report are bro uninstall
Silver|report bot the team
Grandmaster|game team diff are
Gold|bot stop you ez my
Bronze|ez the team quit
Gold|my gg are stop mid good wp
Bronze|mid team ez quit stop uninstall
Celestial|my nice save clutch game
Silver|report you bot play my
Silver|stop team are afk
Gold|the wp good bro team
Platinum|gg my the are good play save
Silver|stop useless the team my
Silver|game stop garbage play trash
Bronze|the trash afk game are team
Platinum|wp clutch you nice team stop
Bronze|uninstall are team bot
Diamond|stop useless are bro the bot
Gold|play quit stop useless bro are trash
Platinum|gg bro my
Gold|trash stop bro
Platinum|are afk team stop suck
Bronze|game mid trash bot diff
Gold|gg bro game stop my
Gold|suck report team mid
Diamond|stop the are clutch clean
Gold|gg game stop save are mid
Gold|team you my mid suck
Platinum|team garbage stop uninstall you my
Silver|play are wp mb you
Silver|thrower are afk stop report
Diamond|suck stop you garbo mid thrower game
Gold|report you play useless afk are
Platinum|quit team the garbage
Silver|team thrower my
Gold|mid team stop my save
Bronze|you game glhf bro
Gold|wp game team
Bronze|suck game afk my team quit you
Grandmaster|are mid diff
Gold|stop uninstall diff you
Gold|wp stop game team nice
Bronze|trash team game bot are
Gold|save stop clean the game
Gold|gg stop good the clean
Bronze|team quit garbo diff game
Diamond|glhf game mb bro are
Gold|game team the clean
Bronze|team play game stop garbo
Platinum|mid mb game good play wp
Silver|suck my afk bro useless game
Gold|wp clean nice team the
Silver|mb mid you gg team bro
Silver|you are the uninstall report
Grandmaster|glhf team my gg save play
Platinum|play thrower uninstall useless my
Platinum|play bro mid trash
Gold|team thrower mid garbage play
Bronze|my save game
Silver|play team trash bro stop
Silver|wp team good bro my
Platinum|the clean glhf bro clutch
Grandmaster|good bro game team
Gold|team trash uninstall bro mid are
Silver|diff bro the thrower team
Silver|you are ez
Gold|stop trash bro report quit team mid
Gold|game are team bot
Gold|game are trash bro garbage mid useless
Gold|gg play mb team wp mid
Bronze|the noob afk garbo play
Gold|garbage are stop
Silver|report afk mid bro
Silver|team the clutch gg you
Gold|thrower you report suck mid
Platinum|mb the save clutch stop
Bronze|stop noob game report trash
Grandmaster|team afk ez bro garbage play are
Grandmaster|garbo afk the bro quit are
Gold|glhf my you clutch
Silver|gg good the mid
Silver|play you team the good
Gold|glhf team nice mid play mb
Silver|you nice mid my good
Silver|report quit my are thrower bro
Gold|stop wp the
Bronze|you noob play diff
Gold|clean are you
Silver|game the nice you my
Diamond|thrower bro are afk game my
Gold|ez useless game you suck
Gold|bro gg the wp
Bronze|gg good clean stop bro
Diamond|bot the play quit
Diamond|mid team useless bro my
Silver|clutch stop play mb bro my
Silver|trash play you
Gold|play mid my you diff afk
Grandmaster|report bro play team
Gold|are my team bot afk
Gold|trash game mid noob useless
Silver|glhf team bro
Bronze|bot report you thrower mid
Bronze|noob team the game
Silver|the my play trash stop uninstall
Gold|are you team diff ez game
Bronze|the stop trash team game
Platinum|nice clean you mid
Gold|garbo report are my team trash
Bronze|diff game garbo play trash stop
Gold|play you team suck
Gold|bro mid stop trash
Gold|good nice are wp you team
Gold|clean stop bro good gg
Gold|thrower the suck bro play are quit
Silver|nice clean stop mid you
Diamond|are afk play diff stop
Grandmaster|save team nice my mid are
Silver|bro are garbo garbage quit team
Silver|you game afk noob play
Diamond|you game stop diff garbage are
Bronze|bot quit my report game
Platinum|gg nice wp the my
Bronze|team thrower you play bot
Gold|team bro good my
Platinum|play gg are stop bro
Gold|suck noob stop are team mid
Gold|gg bro mid team nice
Silver|mid are uninstall diff
Grandmaster|team play are good gg
Grandmaster|play clutch gg are clean my
Silver|stop good the game save team
Gold|are clutch play clean bro my gg
Bronze|bro useless stop play game
Bronze|my report quit the
Gold|bro save you glhf mb
Gold|uninstall stop game
Diamond|game the diff are play
Silver|team good game you mb my
Grandmaster|stop quit garbage mid my team
Gold|are garbage mid game play uninstall quit
Platinum|game play clean wp
Gold|uninstall play team diff mid report
Bronze|my play mid bro suck
Diamond|mb my you
Platinum|wp you save nice mid
Gold|my you stop noob
Silver|mb stop team are mid
Gold|wp stop my nice the you
Bronze|you useless play team
Silver|clutch play clean stop save
Silver|my mb glhf play
Gold|mid my team useless uninstall are trash
Gold|team clean bro save game
Silver|bro clean play are save wp game
Gold|bro are mid team garbage
Silver|play clean mid
Bronze|clutch are the mb mid save you
Platinum|game are my uninstall suck mid
Gold|mid report diff you garbo
Silver|useless play my the mid
Gold|thrower stop team
Bronze|report you stop uninstall bro
Gold|thrower my you
Gold|noob mid play garbo you trash
Diamond|stop garbo noob bro mid afk
Silver|trash garbage mid stop are game garbo
Gold|play my stop save
Gold|bot trash bro stop
Bronze|gg good save you my
Bronze|bro noob diff the
Silver|the good bro
Gold|my thrower report play you
Silver|play team the game nice
Silver|stop game useless team
Platinum|stop clutch good bro play clean the
Diamond|play bot you
Gold|bot ez mid are play garbage bro
Gold|the bro play nice
Gold|mid my play game bot
Bronze|bro you my garbage
Diamond|bot you are
Gold|gg play mid game
Diamond|nice good bro you stop
Grandmaster|game afk the team useless garbo
Gold|you save play my game nice
Platinum|gg game save my clean
Diamond|quit report bot stop bro
Diamond|bro team my useless play
Platinum|useless stop game team you bot
Gold|diff you bro mid
Platinum|stop gg good bro wp play game
Platinum|wp game gg mid play are
Gold|thrower play uninstall you garbage
Bronze|mid you afk the
Diamond|the bot garbage my
Silver|good glhf wp you team
Silver|report mid play are game
Gold|the noob are ez
Diamond|diff mid useless uninstall you my
Gold|stop bot my you
Gold|thrower game trash are play team quit
Platinum|bro are save team my
Gold|clean you bro clutch
Platinum|the save mid clean bro glhf
Silver|mid clutch you stop the save clean
Silver|stop trash bro my game
Gold|mid thrower suck stop game
Platinum|mb the my
Gold|play mb the are
Gold|you team my thrower
Bronze|suck stop team
Gold|stop bro are glhf clean
Gold|you are clean mb my team
Gold|wp the stop
Gold|mid bot useless you the play
Bronze|my trash useless team are
Platinum|team good clutch gg my
Gold|play bro are stop ez noob
Diamond|report you suck stop afk are
Silver|mid afk game team are
Bronze|stop game mid good
Silver|game uninstall bro my
Gold|stop mb mid team bro wp
Platinum|play glhf good are nice bro
Gold|clutch my game bro good save
Gold|save you gg mb game are
Grandmaster|the suck mid
Bronze|suck mid stop
Gold|bro are ez
Silver|nice team mb game the save
Platinum|report my garbo quit play
Gold|stop nice play are
Bronze|ez my are garbage
Silver|game are quit the garbage stop garbo
Platinum|bro garbage game bot are team
Silver|play bro my the glhf save
Silver|you are garbage the bro
Diamond|play trash game thrower
Bronze|trash you bot mid
Diamond|trash mid are
Platinum|my the bot trash game
Gold|suck stop mid bot you ez
Gold|game are clean my mid
Grandmaster|team report my stop are afk thrower
Gold|the mid clean are wp
Silver|afk team bot game are
Diamond|noob you garbage quit play
Bronze|my play report
Gold|glhf the team mid
Silver|bro useless team bot
Gold|are team uninstall you
Silver|garbo play bro mid useless report
Bronze|team ez bro you bot garbo
Diamond|stop garbage mid are thrower afk
Gold|game stop clean play
Platinum|ez you the play useless
Silver|quit game are team
Gold|nice are stop good bro the
Bronze|bot report team mid
Platinum|play clean my the
Diamond|my garbo garbage play game bot bro
Gold|clean clutch are team the mb stop
Silver|stop play bot afk game the
Platinum|the afk team diff garbo
Gold|report game afk the play
Bronze|are afk suck the you my
Bronze|glhf the wp play
Platinum|are clean the wp you gg bro
Silver|bro you bot play
Diamond|good game team mid
Silver|play are garbage thrower stop bro
Platinum|clutch my good stop
Gold|bot game diff mid
Silver|the bro play thrower
Gold|trash you bro my
Platinum|mid stop useless garbo
Celestial|bro are glhf mid
Grandmaster|stop suck useless my quit mid are
Silver|quit thrower bro suck the mid
Bronze|stop ez game the quit are
Silver|are wp play my gg you
Platinum|the bot my you team
Gold|afk useless bro ez mid
Diamond|useless you bro
Gold|uninstall are game the bro useless afk
Diamond|garbo garbage game play diff
Platinum|mb mid glhf are the clean play
Bronze|are glhf my nice clutch
Silver|bro team game my noob
Gold|game good stop nice play
Gold|the suck my are uninstall noob
Silver|good clean team game glhf my you
Bronze|save the glhf you mid are wp
Silver|game nice play the my
Gold|you suck bot noob the
Bronze|team the bro game afk thrower
Grandmaster|you game ez play my garbo
Platinum|clean are mb the mid good my
Gold|the useless noob are game uninstall play
Silver|thrower stop the are
Silver|uninstall diff stop quit team
Gold|mid my stop wp save mb
Gold|garbo bot garbage team bro stop game
Diamond|team the bro good wp mid
Silver|trash bro garbage are my bot
Platinum|trash garbage my are
Diamond|bro useless ez game
Bronze|the bot bro
Grandmaster|game save good my nice bro the
Gold|clutch my gg the
Diamond|my trash bro
Gold|team you uninstall garbage bro
Bronze|report stop trash mid my garbo
Silver|game useless bro noob
Bronze|mid team report bot bro suck
Gold|the bro wp
Diamond|game my bot report afk
Grandmaster|clutch bro you gg team clean
Gold|save clutch my team nice
Silver|clutch team are stop bro save
Bronze|play diff afk quit the
Platinum|mid you my mb clutch game
Grandmaster|clutch mb play are team
Silver|noob bro my game team
Diamond|useless team my suck report the
Bronze|game quit garbo are my suck
Diamond|game team diff my you
Platinum|bro save stop glhf clean team
Platinum|clean wp you game play stop
Silver|mid bot suck are the
Silver|afk mid you noob
Silver|bot are mid useless diff
Silver|bro suck mid are useless trash
Bronze|team useless my bro mid suck
Gold|save play mid game the
Gold|garbage bro game quit
Diamond|my useless the are garbo team
Silver|you team clutch game play gg
Bronze|game garbo suck my bro trash
Bronze|save game mb you nice are bro
Platinum|the noob team play
Platinum|my garbo diff mid bro game
Diamond|gg bro you my
Silver|mid bro thrower are you
Silver|noob mid stop game
Gold|the you wp game
Silver|quit suck my you
Gold|team bro game are clutch
Diamond|the are mid suck team
Gold|the useless team bot suck play
Bronze|team report the my are
Bronze|you game the are gg
Silver|bro garbo the
Celestial|noob the play uninstall team thrower
Silver|suck noob bro you stop
Bronze|play noob mid
Gold|garbage bro stop play garbo bot
Platinum|uninstall noob my team play
Gold|good wp you the
Silver|nice the good game stop
Gold|noob ez uninstall play game stop
Gold|are thrower ez my garbo
Bronze|mid garbo team you
Platinum|bro play game save team
Bronze|nice play gg the you team
Silver|are my bro game useless
Silver|bot game mid the uninstall play
Gold|the play useless bot game
Grandmaster|useless play my stop game
Bronze|garbage team play
Gold|good clutch mid play are glhf
Grandmaster|ez bro thrower team trash
Diamond|noob diff mid afk the
Platinum|useless the suck bro afk
Gold|good mb play my mid stop glhf
Silver|bro you diff are mid
Gold|mid report play the bot
Diamond|the stop game uninstall thrower afk
Bronze|mid noob stop afk you
Diamond|mid stop team thrower are bot
Silver|good mid clean stop my bro
Silver|garbo are my suck
Gold|wp play game save
Silver|you my mid good
Gold|you report bro garbage noob
Gold|nice team are
Gold|garbo play my afk mid team
Gold|the my wp glhf bro stop save
Platinum|you play good stop my
Platinum|team clean bro good clutch
Gold|suck the useless mid game
Gold|bro glhf the
Silver|stop mb play bro my glhf
Silver|stop mid play you clutch glhf
Diamond|team my are clean mb
Diamond|team nice play good bro mb
Gold|stop mb glhf mid team game
Gold|save play gg mid
Platinum|useless team quit bro mid bot
Gold|suck mid game diff uninstall team
Silver|stop bro uninstall are game noob
Silver|my team glhf play
Silver|the quit game team mid
Silver|ez play game
Diamond|team you game suck stop noob
Platinum|are mb you
Gold|uninstall trash bot you game stop mid
Diamond|ez my are noob bro the
Gold|trash stop are the you
Silver|afk stop report garbage you
Silver|nice game team mb
Gold|mid suck stop team uninstall game report
Gold|good my stop clean nice
Silver|good are bro wp nice
Gold|useless bro the suck
Platinum|my bro stop garbage
Grandmaster|suck team my useless stop
Gold|team afk my diff uninstall play
Grandmaster|bro my quit
Gold|mid my uninstall afk
Diamond|mid bot play garbage ez are
Gold|good stop team clutch mb
Silver|stop bro clutch nice are the
Gold|my stop you ez
Platinum|team wp glhf good the you
Diamond|trash suck are the my stop bot
Platinum|wp my the team nice stop mb
Silver|garbage noob trash are my
Silver|glhf clutch are you
Platinum|game you uninstall team are report
Diamond|thrower bro useless stop play
Silver|suck bro useless play
Platinum|mid glhf you
Diamond|afk report garbage game team stop the
Platinum|team uninstall afk mid
Gold|mid game my afk diff
Gold|the play glhf gg nice
Gold|my mid game are diff
Silver|the mid stop trash report
Silver|team uninstall ez are
Gold|nice you the
Gold|bro team are save nice
Silver|game team play uninstall you afk suck
Gold|you the bro gg
Platinum|clutch team good bro wp game
Silver|the mid you save are
Gold|game wp team my stop
Bronze|the are thrower my mid ez trash
Gold|clutch the team play save my
Diamond|thrower useless the afk play
Bronze|the ez play
Gold|are the report garbage team
Silver|report my garbo the play are
Gold|uninstall the my quit
Silver|mid thrower team play
Gold|the garbo diff are mid
Platinum|mb gg play my team
Gold|save you team are good mb my
Gold|the you are clutch play good
Platinum|suck bro afk mid the are thrower
Platinum|play are clean glhf the wp
Silver|report you stop
Bronze|you stop suck garbage game are
Gold|afk are stop
Gold|play garbo mid
Diamond|stop report the ez team bot are
Gold|gg my clutch mid mb
Silver|game diff report stop bro
Gold|good stop bro are play
Platinum|uninstall stop the report
Platinum|play noob are
Gold|are game wp
Silver|team bot my mid the
Silver|the suck bro useless
Bronze|you are the garbo
Platinum|the good mid bro
Bronze|bro play nice you
Silver|bot my garbage game trash
Silver|play good game my
Silver|report the useless bro
Platinum|game wp play stop
Silver|team nice play gg wp
Gold|clean play game you the
Gold|are team bro game afk
Bronze|bot you stop quit mid the
Gold|my save bro you stop
Bronze|game stop team thrower
Platinum|stop nice are you
Silver|game mid stop my diff
Bronze|diff play bot my mid
Bronze|afk game ez you garbo
Silver|suck garbo game my stop
Platinum|good are mid clutch team stop
Gold|game mid afk useless are bro
Silver|the play you bot afk suck bro
Silver|you diff game suck the
Silver|stop ez are bro
Silver|play clean team game you
Gold|team ez my
Silver|wp you the stop mid good nice
Gold|stop team bro clean
Diamond|the bot uninstall team are
Diamond|are trash bro team quit
Bronze|garbo mid bro
Silver|bro the team trash
Bronze|stop the play afk
Platinum|good bro you game mid save
Gold|you diff team trash bro mid
Silver|afk are my
Silver|clutch save wp team play the bro
Gold|nice glhf game are team
Silver|noob you the team play
Diamond|mid clean stop play you glhf good
Gold|stop the clutch clean
Silver|the suck garbo you
Silver|the you game uninstall
Silver|my mid save clean team stop
Gold|garbage useless thrower mid the play
Bronze|uninstall report game bro the
Diamond|wp nice mid my
Silver|are my team clean wp you
Silver|garbage useless team are bot mid the
Platinum|play diff garbage you
Silver|my game mb you bro clutch wp
Gold|suck diff you mid
Diamond|mid suck uninstall useless you
Gold|mid stop the wp
Platinum|good bro glhf are mb
Platinum|useless you stop the
Silver|team game wp you bro
Silver|good team play
Gold|mb my nice you play clean are
Silver|good stop are
Platinum|play bro afk are you
Platinum|bro report garbo the
Gold|trash play are my noob
Bronze|my bro the garbage
Silver|game thrower noob team bro
Bronze|ez game my suck
Silver|you game clutch gg save
Gold|play noob useless stop bot
Silver|bro diff report afk game
Gold|mid uninstall my team
Silver|garbo my the bro afk trash
Silver|mid save play team
Platinum|my wp the nice you bro
Platinum|my mid glhf save stop team clutch
Gold|stop team garbage you bot
Bronze|bot trash quit mid the are
Bronze|you trash my bot garbage the stop
Bronze|garbage quit the stop bro
Gold|gg game the you nice
Platinum|you wp clean mid are team
Diamond|play team uninstall bot game
Grandmaster|gg save you stop
Platinum|report team trash you stop mid useless
Gold|my suck play quit bro you
Platinum|afk bro play report
Bronze|clean bro game good the my glhf
Silver|stop suck play are ez diff
Silver|the team clutch wp clean my
Gold|noob mid play the bro
Bronze|you stop team glhf gg good my
Diamond|wp play the good
Platinum|bro wp mid clutch team game gg
Bronze|team you mid the useless
Silver|are noob mid garbage game afk
Diamond|are gg mid
Platinum|save bro mb good team
Bronze|bot noob trash bro you
Gold|mid play game wp good stop
Gold|save bro mb game
Bronze|team noob are
Silver|game team nice
Silver|my the bot play you useless
Silver|clean nice my the good stop play
Bronze|report diff you thrower team play stop
Silver|are game thrower
Silver|report mid uninstall are stop play diff
Gold|game stop team garbage
Platinum|my gg team nice game
Silver|bro thrower garbage my
Diamond|garbage my play stop
Diamond|team my glhf
Platinum|play my gg clutch bro
Gold|report suck bro you afk the
Bronze|the thrower bro afk garbage play
Gold|good save bro my
Grandmaster|you good save my are team glhf
Diamond|uninstall my you game trash
Bronze|bro game play are wp good
Silver|useless team the
Platinum|garbage team the my report play
Bronze|report team the game trash
Gold|team afk you garbage game my bot
Gold|you clean the glhf bro
Platinum|clean gg are bro
Silver|my play glhf you team
Gold|team garbage you
Gold|quit you bro my
Gold|ez play are game team
Silver|bro my team save mid glhf
Bronze|gg game bro my clean
Silver|play afk bro my diff are
Platinum|stop gg play glhf mb my
Platinum|game my mb
Platinum|good clean my bro team
Diamond|bro team stop trash
Gold|mid garbage bro
Platinum|wp play good bro you gg mid
Bronze|play team diff
Bronze|you noob ez are play bro
Gold|the you clutch nice bro
Silver|stop nice good save you play
Gold|my noob stop
Gold|quit report play stop diff are
Silver|stop team clean
Platinum|mb mid clean my game
Silver|bro the nice team
Silver|nice team the
Diamond|stop report useless game
Bronze|afk suck the game
Diamond|team garbage my useless bro play
Platinum|are mid noob
Bronze|bot the stop
Platinum|mid you diff game team suck
Bronze|play team you ez my
Platinum|game bro stop clean you
Platinum|noob play team stop bro
Silver|trash my bro are team
Silver|game wp team mid
Silver|game save you are
Diamond|quit my bro team
Bronze|play save my the
Grandmaster|uninstall garbage my game bro ez team
Platinum|useless you my thrower game
Bronze|you the garbo trash game mid
Silver|garbage my stop are team
Platinum|diff game bot team quit you
Gold|you are bot trash quit
Platinum|quit bro you the ez
Grandmaster|mid save clean play you bro
Diamond|noob bot suck stop you
Bronze|diff you my report uninstall
Silver|uninstall you stop the
Gold|team the clutch wp clean play bro
Grandmaster|garbage bro play useless mid
Bronze|wp clutch stop bro team good my
Silver|stop team play diff are suck
Platinum|diff my uninstall play stop
Gold|my afk mid ez
Platinum|bro play the good game
Gold|you report bro team quit
Silver|garbage my bro ez are
Silver|mid useless stop you the
Bronze|team ez bro you the
Silver|suck garbo trash play game
Gold|bro clutch play game team wp
Bronze|bro mb glhf gg game
Gold|quit garbo the are play
Grandmaster|suck mid afk stop are bot
Silver|you afk stop diff
Silver|clean clutch wp are stop play my
Diamond|my are noob stop useless team
Gold|my are thrower useless suck
Bronze|the play trash mid
Bronze|game mid suck stop thrower play
Bronze|uninstall quit are report mid my
Grandmaster|you the suck mid garbage garbo bro
Silver|are you save team good
Bronze|stop you play bot noob are
Bronze|my report you
Diamond|garbo my you game play useless uninstall
Gold|bro wp play good
Silver|my noob garbage play uninstall mid
Platinum|mid game good glhf
Diamond|mb team you the clean save
Gold|diff my garbo play
Silver|game my noob report stop
Platinum|suck noob you thrower play
Silver|are useless thrower play
Silver|diff stop bro the are trash
Gold|mid clutch mb save stop
Diamond|you ez afk game report
Platinum|mid stop trash garbo are quit the
Platinum|bro my you save
Silver|game quit garbo play
Silver|quit are bro
Silver|play are mb clean my good
Bronze|uninstall game bot my
Bronze|game nice clean you clutch bro my
Diamond|are team the quit
Gold|trash team you
Gold|wp mb good play bro
Bronze|diff afk play useless bro
Gold|the play stop you good nice
Gold|wp you bro mb are stop
Gold|you my quit game
Gold|bro play afk team
Platinum|my are bro stop trash
Silver|diff my report are trash
Gold|the game mid play bot ez
Bronze|thrower uninstall bro the diff
Platinum|ez are play afk report
Gold|play the team gg stop
Bronze|the stop wp are save good mid
Silver|trash mid you
Gold|uninstall mid team useless
Silver|good are mb game
Platinum|good game mb team gg are
Diamond|the report garbo are
Silver|game my stop wp
